CPU: 0.11061385140911091  Memory: 0.07629244 
CPU: 0.10697340125034072  Memory: 0.09045795 
CPU: 0.11061385140911091  Memory: 0.07634038 
CPU: 0.10697340125034072  Memory: 0.09045795 
CPU: 0.11061385140911091  Memory: 0.076364346 
CPU: 0.10697340125034072  Memory: 0.09045795 
CPU: 0.11061385140911091  Memory: 0.076364346 
CPU: 0.10697340125034072  Memory: 0.09045795 
CPU: 0.11061385140911091  Memory: 0.076388314 
CPU: 0.10697277287907137  Memory: 0.09045795 
CPU: 0.11061351547432641  Memory: 0.07643625 
CPU: 0.10697277287907137  Memory: 0.09048192 
CPU: 0.11061351547432641  Memory: 0.076556094 
CPU: 0.10697277287907137  Memory: 0.09050589 
CPU: 0.11061351547432641  Memory: 0.076556094 
CPU: 0.10697277287907137  Memory: 0.09050589 
CPU: 0.11061351547432641  Memory: 0.076556094 
CPU: 0.10697277287907137  Memory: 0.09055383 
CPU: 0.11061351547432641  Memory: 0.076675944 
CPU: 0.10697277287907137  Memory: 0.09055383 
